Season,HomeTeam,AwayTeam,home_rest_days_all,away_rest_days_all,home_matches_last_14_all,away_matches_last_14_all,home_played_euro_last_5,away_played_euro_last_5,diff_rest_days_all,diff_matches_last_14_all,diff_played_euro_last_5
2016_2017,Everton,Man United,7.0,4.0,1,3,0,0,3.0,-2,0
2016_2017,Middlesbrough,Hull,9.0,6.0,1,2,0,0,3.0,-1,0
2016_2017,Arsenal,Stoke,4.0,7.0,4,2,1,0,-3.0,2,1
2016_2017,Burnley,Bournemouth,7.0,6.0,2,2,0,0,1.0,0,0
2016_2017,Hull,Crystal Palace,5.0,7.0,3,2,0,0,-2.0,1,0
2016_2017,Leicester,Man City,3.0,4.0,3,3,1,1,-1.0,0,0
2016_2017,Swansea,Sunderland,7.0,7.0,2,2,0,0,0.0,0,0
2016_2017,Watford,Everton,7.0,6.0,2,2,0,0,1.0,0,0
2016_2017,Chelsea,West Brom,8.0,8.0,1,1,0,0,0.0,0,0
2016_2017,Liverpool,West Ham,7.0,8.0,2,3,0,0,-1.0,-1,0
2016_2017,Man United,Tottenham,3.0,4.0,4,2,1,1,-1.0,2,0
2016_2017,Southampton,Middlesbrough,3.0,6.0,4,1,1,0,-3.0,3,1
2016_2017,Bournemouth,Leicester,3.0,3.0,2,3,0,0,0.0,-1,0
2016_2017,Everton,Arsenal,3.0,3.0,2,4,0,0,0.0,-2,0
2016_2017,Crystal Palace,Man United,4.0,3.0,2,4,0,0,1.0,-2,0
2016_2017,Man City,Watford,4.0,4.0,3,2,0,0,0.0,1,0
2016_2017,Middlesbrough,Liverpool,3.0,3.0,2,2,0,0,0.0,0,0
2016_2017,Stoke,Southampton,4.0,3.0,2,4,0,0,1.0,-2,0
2016_2017,Sunderland,Chelsea,4.0,3.0,2,2,0,0,1.0,0,0
2016_2017,Tottenham,Hull,3.0,4.0,3,2,0,0,-1.0,1,0
2016_2017,West Brom,Swansea,3.0,4.0,2,2,0,0,-1.0,0,0
2016_2017,West Ham,Burnley,3.0,4.0,3,2,0,0,-1.0,1,0
2016_2017,Crystal Palace,Chelsea,3.0,3.0,3,3,0,0,0.0,0,0
2016_2017,Middlesbrough,Swansea,3.0,3.0,3,3,0,0,0.0,0,0
2016_2017,Stoke,Leicester,3.0,4.0,3,4,0,0,-1.0,-1,0
2016_2017,Sunderland,Watford,3.0,3.0,3,3,0,0,0.0,0,0
2016_2017,West Brom,Man United,3.0,3.0,3,4,0,0,0.0,-1,0
2016_2017,West Ham,Hull,3.0,3.0,3,3,0,0,0.0,0,0
