MatchID,Season,Date,Time,HomeTeam,AwayTeam,target_result,target_result_encoded,target_home_win,target_draw,target_away_win,home_elo,away_elo,elo_diff,elo_expected_home,h2h_home_ppg,h2h_home_goal_diff,h2h_meetings,home_promoted,away_promoted,home_ewm_points,home_ewm_goal_diff,home_ewm_goals_for,home_ewm_goals_against,home_ewm_conversion,home_ewm_shot_accuracy,home_ewm_def_leakiness,home_season_ppg,home_season_rank_pct,home_season_matches_played,home_win_streak,home_unbeaten_streak,home_winless_streak,away_ewm_points,away_ewm_goal_diff,away_ewm_goals_for,away_ewm_goals_against,away_ewm_conversion,away_ewm_shot_accuracy,away_ewm_def_leakiness,away_season_ppg,away_season_rank_pct,away_season_matches_played,away_win_streak,away_unbeaten_streak,away_winless_streak,diff_ewm_points,diff_ewm_goal_diff,diff_ewm_conversion,diff_ewm_shot_accuracy,diff_ewm_def_leakiness,diff_season_ppg,diff_season_rank_pct,diff_win_streak,diff_unbeaten_streak,diff_winless_streak
33,2016_2017,2016-09-10,,Liverpool,Leicester,H,2,1,0,0,1500.30851988058,1498.3093422737004,1.9991776068795843,0.5882888252465276,1.35,0.0,0,0,0,1.2454587702597264,-0.3740829150788852,1.5337922554591725,1.9078751705380579,0.3257646701057968,0.2687955861805459,0.5360421571621308,1.3333333333333333,0.59375,3,0,1,2,1.4725831441233306,0.09212482946194225,1.0492501145222226,0.9571252850602804,0.25435096962914916,0.31232997842006543,0.24728278014112348,1.3333333333333333,0.59375,3,1,2,0,-0.22712437386360418,-0.4662077445408275,0.07141370047664763,-0.04353439223951955,0.2887593770210073,0.0,0.0,-1,-1,2
34,2016_2017,2016-09-10,,Man United,Man City,A,0,0,0,1,1540.8209254602718,1539.7106182803188,1.110307179952997,0.5870489651067357,1.35,0.0,0,0,0,3.0,1.6195416853386118,1.9078751705380579,0.28833348519944607,0.27722619733675913,0.39698704944579805,0.1570063246720753,3.0,0.96875,3,3,3,0,3.0,2.0428747149397197,3.0428747149397197,1.0,0.6017750185319308,0.2987870340074637,0.37831303220920653,3.0,0.96875,3,3,3,0,0.0,-0.42333302960110797,-0.3245488211951717,0.09820001543833434,-0.22130670753713125,0.0,0.0,0,0,0
35,2016_2017,2016-09-10,,Middlesbrough,Crystal Palace,A,0,0,0,1,1511.2395378394494,1478.496060798928,32.743477040521384,0.6303862928634516,1.35,0.0,0,0,0,1.6624164002783315,0.33120820013916563,0.9507498854777773,0.6195416853386116,0.4184300944961157,0.2625440187180187,0.23933806283047446,1.6666666666666667,0.78125,3,0,3,1,0.3804583146613883,-0.6195416853386116,0.3804583146613883,1.0,0.09663452639314225,0.22734433943270624,0.2728066142442265,0.3333333333333333,0.15625,3,0,1,3,1.2819580856169432,0.9507498854777773,0.32179556810297344,0.03519967928531245,-0.03346855141375202,1.3333333333333335,0.625,0,2,-2
36,2016_2017,2016-09-10,,Stoke,Tottenham,A,0,0,0,1,1474.0427635935844,1507.6026130920372,-33.55984949845288,0.5379771506451918,1.35,0.0,0,0,0,0.28833348519944607,-1.3740829150788851,0.6195416853386116,1.9936246004174967,0.3862353138478776,0.18021970752899885,0.34289613669762314,0.3333333333333333,0.15625,3,0,0,3,1.6624164002783315,0.33120820013916563,1.0,0.6687917998608344,0.23079762932699516,0.29643763515611227,0.18539816474393328,1.6666666666666667,0.78125,3,0,3,1,-1.3740829150788854,-1.7052911152180508,0.15543768452088247,-0.11621792762711342,0.15749797195368986,-1.3333333333333335,-0.625,0,-3,2
37,2016_2017,2016-09-10,,West Ham,Watford,A,0,0,0,1,1488.4912056263295,1472.6157348778577,15.875470748471798,0.6074901478613391,1.35,0.0,0,0,0,0.9936246004174969,-0.7180419143830571,1.0,1.718041914383057,0.4328042215447421,0.22268348851354217,0.3184411599051592,1.0,0.40625,3,0,0,1,0.28833348519944607,-1.0921248294619423,1.0,2.0921248294619423,0.3209003783046749,0.36477117889118854,0.359539957512675,0.3333333333333333,0.15625,3,0,0,3,0.7052911152180508,0.37408291507888525,0.11190384324006719,-0.14208769037764638,-0.04109879760751578,0.6666666666666667,0.25,0,0,-2
38,2016_2017,2016-09-11,,Swansea,Chelsea,D,1,0,1,0,1485.597190620519,1533.4467443025815,-47.84955368206238,0.5174787727665943,1.35,0.0,0,0,0,0.8650004555983382,-0.7545412297402735,0.6687917998608344,1.423333029601108,0.13719694503349153,0.37947436098973625,0.3131994282144817,1.0,0.5,3,0,0,2,3.0,1.7609166293227767,2.3804583146613885,0.6195416853386116,0.34856319515165424,0.3944263496363548,0.40279081589346166,3.0,1.0,3,3,3,0,-2.134999544401662,-2.51545785906305,-0.2113662501181627,-0.014951988646618564,-0.08959138767897995,-2.0,-0.5,-3,-3,2
39,2016_2017,2016-09-12,,Sunderland,Everton,A,0,0,0,1,1482.0745817335728,1517.8698214506528,-35.795239717079994,0.5347772048712636,1.35,0.0,0,0,0,0.3804583146613883,-0.6195416853386116,1.0,1.6195416853386118,0.3022139664220466,0.3326401209985658,0.3468912443627172,0.3333333333333333,0.5,3,0,1,3,2.423333029601108,0.711666514800554,1.3312082001391656,0.6195416853386116,0.18003856355730208,0.47628321418351194,0.21956539710648168,2.3333333333333335,1.0,3,2,3,0,-2.0428747149397197,-1.3312082001391656,0.12217540286474454,-0.1436430931849461,0.1273258472562355,-2.0,-0.5,-2,-2,3
40,2016_2017,2016-09-16,,Chelsea,Liverpool,A,0,0,0,1,1533.7963197579134,1514.7184109969514,19.07790876096192,0.6118770124725954,1.35,0.0,0,0,0,2.3917576104135216,1.2253845600818503,2.264752877437545,1.0393683173556945,0.3307416956568082,0.33890819821962936,0.5961293981631797,2.5,1.0,4,0,4,1,1.7790519453623377,0.652047212386361,2.2838183013372686,1.6317710889509078,0.3432407710715904,0.3680929409354894,0.4875259251263821,1.75,0.5,4,1,2,0,0.612705665051184,0.5733373476954893,-0.01249907541478218,-0.029184742715860024,0.10860347303679757,0.75,0.5,-1,2,1
41,2016_2017,2016-09-17,,Everton,Middlesbrough,H,2,1,0,0,1536.587023621147,1498.6318119821804,37.9552116389666,0.6373487869641398,1.35,0.0,0,0,0,2.5987096776366165,1.4075972284047868,1.8387231561740027,0.43112592776921604,0.22867840880368517,0.46761716299295286,0.17412668958914346,2.5,0.9,4,3,4,0,1.1568403383818093,-0.073640428205715,0.9657278891499795,1.0393683173556945,0.3517397815205656,0.28664752492518525,0.3338572378190867,1.25,0.6,4,0,0,2,1.4418693392548072,1.4812376566105019,-0.12306137271688045,0.1809696380677676,-0.15973054822994326,1.25,0.30000000000000004,3,4,-2
42,2016_2017,2016-09-17,,Hull,Arsenal,A,0,0,0,1,1515.3448719470778,1515.322308264208,0.02256368286975885,0.5855302005945048,1.35,0.0,0,0,0,1.597498978100887,0.3968538169191956,1.1663730503316714,0.7695192334124757,0.3517946161216155,0.3080632959206404,0.16082317043098557,1.75,0.75,4,0,1,2,1.9371029832798763,0.6329817884866369,2.004436505444188,1.371454716957551,0.45013955689853563,0.3575510791206087,0.30208038468365156,1.75,0.75,4,2,3,0,-0.33960400517898925,-0.2361279715674413,-0.09834494077692013,-0.04948778319996827,-0.141257214252666,0.0,0.0,-2,-2,2
